 Text, Emotion
Saya merasa senang dengan pelayanan yang diberikan.,Puas
Pelayanannya biasa saja tidak ada yang istimewa.,Biasa Saja
Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak responsif.,Kesal
Kualitas layanan menurun drastis.,Kecewa
Pelayanan ramah dan membantu.,Puas
Saya merasa senang dengan pelayanan yang diberikan.,Puas
Pelayanannya biasa saja tidak ada yang istimewa.,Biasa Saja
Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
 Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak responsif.,Kesal
Kualitas layanan menurun drastis.,Kecewa
Pelayanan ramah dan membantu.,Puas
Saya merasa senang dengan pelayanan yang diberikan.,Puas
Pelayanannya biasa saja tidak ada yang istimewa.,Biasa Saja
 Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
 Pelayanannya sangat lambat dan tidak profesional.,Kesal
Saya sangat kecewa dengan pelayanannya.,Kecewa
Saya merasa sedih dengan pelayanannya.,Sedih
Pelayanannya sangat membantu.,Puas
Proses administrasinya cepat dan mudah.,Senang
Tidak ada yang istimewa dari pelayanannya.,Biasa Saja
Pelayanannya sangat lambat dan tidak responsif.,Kesal
Kualitas layanan menurun drastis.,Kecewa
Pelayanan ramah dan membantu.,Puas
Saya merasa senang dengan pelayanan yang diberikan.,Puas
Pelayanannya biasa saja tidak ada yang istimewa.,Biasa Saja
 Pelayanannya sangat lambat dan tidak profesional.,Kesal
Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan.,Senang
Saya senang dengan pelayanan di tata usaha kampus.,Puas
Pelayanannya biasa saja tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus lambat dalam proses administrasi.,Kesal
Pelayanan sangat baik dan memuaskan.,Senang
senang dengan respons cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja.,Biasa Saja
Tata usaha kampus kurang responsif dan membuat kesal.,Kesal
Sangatkecewa dengan penanganan administrasi yang lambat.,Kecewa
Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan.,Senang
Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa.,Senang
Saya senang dengan pelayanan di tata usaha kampus.,Puas
Pelayanan nya biasa saja  tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus lambat dalam proses administrasi.,Kesal
Pelayanan sangat baik dan memuaskan.,Senang
senang dengan respons cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja.,Biasa Saja
Tata usaha kampus kurang responsif dan membuat kesal.,Kesal
Sangatkecewa dengan penanganan administrasi yang lambat.,Kecewa
Pelayanan tata usaha di kampus STAI Al-Azhary sangat memuaskan.,Senang
Saya senang dengan pelayanan di tata usaha kampus.,Puas
Pelayanannya biasa saja tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus lambat dalam proses administrasi.,Kesal
Pelayanan sangat baik dan memuaskan.,Senang
senang dengan respons cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja.,Biasa Saja
Tata usaha kampus kurang responsif dan membuat kesal.,Kesal
Sangatkecewa dengan penanganan administrasi yang lambat.,Kecewa
Saya merasa puas dengan pelayanan di tata usaha kampus.,Senang
senang sekali dengan layanan yang ramah dan sopan dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan tata usaha kampus benar-benar memuaskan dan efisien.,Senang
Saya senang dengan kualitas layanan tata usaha kampus yang tinggi.,Puas
Layanan tata usaha kampus tidak ada yang menonjol hanya biasa saja.,Biasa Saja
Saya kesal dengan keterlambatan penyelesaian administrasi oleh tata usaha kampus.,Kesal
Rasanya sangat kecewa denganPelayanan tata usaha kampus yang buruk.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasasenang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus cukup biasa saja tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.,Kesal
Sangat kecewa dengan sikap tidak ramah dari petugas tata usaha kampus.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan membantu.,Senang
Saya senang dengan respon cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus hanya standar saja  tidak ada yang luar biasa.,Biasa Saja
Tata usaha kampus membuat saya kesal karena prosesnya yang berbelit-belit.,Kesal
Sangat kecewa dengan ketidakresponsifan tata usaha kampus.,Kecewa
Pelayanan di tata usaha kampus sungguh memuaskan.,Senang
Saya senang dengan pelayanan yang diberikan oleh tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus cukup biasa saja tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.,Kesal
Sangat kecewa dengan sikap tidak ramah dari petugas tata usaha kampus.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan membantu.,Senang
Saya senang dengan respon cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.,Biasa Saja
Tata usaha kampus membuat saya kesal karena prosesnya yang berbelit-belit.,Kesal
Sangat kecewa dengan ketidakresponsifan tata usaha kampus.,Kecewa
Pelayanan di tata usaha kampus sungguh memuaskan.,Senang
Saya senang dengan pelayanan yang diberikan oleh tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus cukup biasa saja tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.,Kesal
Sangat kecewa dengan sikap tidak ramah dari petugas tata usaha kampus.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan membantu.,Senang
Saya senang dengan respon cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus hanya standar sajatidak ada yang luar biasa.,Biasa Saja
Tata usaha kampus membuat saya kesal karena prosesnya yang berbelit-belit.,Kesal
Sangat kecewa dengan ketidakresponsifan tata usaha kampus.,Kecewa
Pelayanan di tata usaha kampus sungguh memuaskan.,Senang
Saya senang dengan pelayanan yang diberikan oleh tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.,Kesal
Sangat kecewa dengan sikap tidak ramah dari petugas tata usaha kampus.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan membantu.,Senang
Saya senang dengan respon cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.,Biasa Saja
Tata usaha kampus membuat saya kesal karena prosesnya yang berbelit-belit.,Kesal
Sangat kecewa dengan ketidakresponsifan tata usaha kampus.,Kecewa
Pelayanan di tata usaha kampus sungguh memuaskan.,Senang
Saya senang dengan pelayanan yang diberikan oleh tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.,Kesal
Sangat kecewa dengan sikap tidak ramah dari petugas tata usaha kampus.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan membantu.,Senang
Saya senang dengan respon cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus hanya standar saja tidak ada yang luar biasa.,Biasa Saja
Tata usaha kampus membuat saya kesal karena prosesnya yang berbelit-belit.,Kesal
Sangat kecewa dengan ketidakresponsifan tata usaha kampus.,Kecewa
Pelayanan di tata usaha kampus sungguh memuaskan.,Senang
Saya senang dengan pelayanan yang diberikan oleh tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampusbiasa saja tidak terlalu istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.,Kesal
Sangat kecewa dengan sikap tidak ramah dari petugas tata usaha kampus.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan membantu.,Senang
Saya senang dengan respon cepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus hanya standar sajatidak ada yang luar biasa.,Biasa Saja
Tata usaha kampus membuat saya kesal karena prosesnya yang berbelit-belit.,Kesal
Sangat kecewa dengan ketidakresponsifan tata usaha kampus.,Kecewa
Pelayanan di tata usaha kampus sungguh memuaskan.,Senang
Saya senang dengan pelayanan yang diberikan oleh tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saja tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus biasa saja tidak ada yang istimewa.,Biasa Saja
Saya kesal karena tata usaha kampus sering terlambat dalam menanggapi permintaan.,Kesal
Sangat kecewa denganPelayanan tata usaha kampus yang lambat dan tidak efisien.,Kecewa
Pelayanan tata usaha kampus sangat memuaskan dan ramah.,Senang
Saya senang dengan layanan yang cepat dan efisien dari tata usaha kampus.,Puas
Pelayanan tata usaha kampus standar saj tidak ada yang luar biasa.,Biasa Saja
Saya kesal karena tata usaha kampus sering memperlambat proses administrasi.,Kesal
Sangat kecewa dengan tingkat responsivitas tata usaha kampus yang rendah.,Kecewa
Pelayanan di tata usaha kampus sangat membantu dan memuaskan.,Senang
Saya merasa senang dengan pelayanan cepat dan tepat dari tata usaha kampus.,Puas
Saya merasa sangat puas denganPelayanan tata usaha kampus yang ramah dan profesional.,Senang
Layanan tata usaha kampus membuat saya merasa senang dan terbantu.,Puas
Pelayanan tata usaha kampus tergolong biasa saja tidak ada yang istimewa.,Biasa Saja
